1  -83.000000 0.000000
1 2 -54.869833 -81.238136
1 3 -66.044260 -Inf
1 4 -69.936716 -Inf
1 5 -60.887691 -653.311748
1 6 -64.852057 -Inf
1 7 -64.833339 -651.585712
1 8 -79.958859 -Inf
1 9 -79.216076 -Inf
1 10 -59.326569 -737.166979
1 11 -68.825994 -Inf
1 12 -60.334134 -726.726137
1 13 -77.556633 -Inf
1 14 -64.588208 -654.047064
1 15 -73.166713 -Inf
1 16 -63.774182 -734.394738
1 17 -62.629237 -Inf
1 18 -77.253124 -Inf
1 19 -76.477685 -Inf
1 20 -76.531074 -Inf
1 2  3 -46.974462 -Inf
1 2  4 -47.087513 -Inf
1 2  5 -51.818470 -734.549883
1 2  6 -51.746485 -Inf
1 2  7 -48.301783 -732.823847
1 2  8 -49.948317 -Inf
1 2  9 -48.234797 -Inf
1 2  10 -44.985458 -818.405115
1 2  11 -45.954379 -Inf
1 2  12 -52.237703 -807.964273
1 2  13 -45.768306 -Inf
1 2  14 -42.028865 -735.285200
1 2  15 -47.722316 -Inf
1 2  16 -47.242768 -815.632873
1 2  17 -50.695735 -Inf
1 2  18 -50.180728 -Inf
1 2  19 -45.095307 -Inf
1 2  20 -45.628524 -Inf
1 3  4 -53.394497 -Inf
1 3  5 -46.467022 -Inf
1 3  6 -55.194655 -Inf
1 3  7 -54.960801 -Inf
1 3  8 -58.430681 -Inf
1 3  9 -60.997432 -Inf
1 3  10 -52.075088 -Inf
1 3  11 -54.415123 -Inf
1 3  12 -51.611010 -Inf
1 3  13 -55.571720 -Inf
1 3  14 -50.900678 -Inf
1 3  15 -53.748950 -Inf
1 3  16 -52.255439 -Inf
1 3  17 -51.540713 -Inf
1 3  18 -57.621345 -Inf
1 3  19 -55.872782 -Inf
1 3  20 -57.746164 -Inf
1 4  5 -51.432134 -Inf
1 4  6 -53.519287 -Inf
1 4  7 -56.120495 -Inf
1 4  8 -63.887749 -Inf
1 4  9 -61.293714 -Inf
1 4  10 -52.224467 -Inf
1 4  11 -55.366243 -Inf
1 4  12 -50.052674 -Inf
1 4  13 -53.719552 -Inf
1 4  14 -54.933701 -Inf
1 4  15 -55.506025 -Inf
1 4  16 -53.087332 -Inf
1 4  17 -54.316367 -Inf
1 4  18 -57.627445 -Inf
1 4  19 -56.717431 -Inf
1 4  20 -61.849978 -Inf
1 5  6 -50.937568 -Inf
1 5  7 -52.250300 -1304.897459
1 5  8 -52.872782 -Inf
1 5  9 -54.856846 -Inf
1 5  10 -43.273307 -1390.478727
1 5  11 -50.409256 -Inf
1 5  12 -54.054527 -1380.037885
1 5  13 -53.057613 -Inf
1 5  14 -47.474014 -1307.358811
1 5  15 -41.488755 -Inf
1 5  16 -47.430938 -1387.706485
1 5  17 -55.987505 -Inf
1 5  18 -55.142119 -Inf
1 5  19 -48.949833 -Inf
1 5  20 -52.204705 -Inf
1 6  7 -57.492259 -Inf
1 6  8 -59.231084 -Inf
1 6  9 -53.812200 -Inf
1 6  10 -54.587465 -Inf
1 6  11 -56.451548 -Inf
1 6  12 -56.691034 -Inf
1 6  13 -56.066295 -Inf
1 6  14 -54.165280 -Inf
1 6  15 -55.835552 -Inf
1 6  16 -52.616832 -Inf
1 6  17 -56.463421 -Inf
1 6  18 -59.228490 -Inf
1 6  19 -55.308314 -Inf
1 6  20 -56.754394 -Inf
1 7  8 -56.959411 -Inf
1 7  9 -58.590262 -Inf
1 7  10 -53.374626 -1388.752691
1 7  11 -57.589532 -Inf
1 7  12 -53.835569 -1378.311849
1 7  13 -51.804546 -Inf
1 7  14 -53.119191 -1305.632775
1 7  15 -54.114748 -Inf
1 7  16 -50.211272 -1385.980449
1 7  17 -55.060289 -Inf
1 7  18 -59.025950 -Inf
1 7  19 -51.190457 -Inf
1 7  20 -57.913255 -Inf
1 8  9 -67.803507 -Inf
1 8  10 -55.095091 -Inf
1 8  11 -61.343139 -Inf
1 8  12 -51.362474 -Inf
1 8  13 -68.447150 -Inf
1 8  14 -57.766728 -Inf
1 8  15 -67.391996 -Inf
1 8  16 -58.255280 -Inf
1 8  17 -57.547959 -Inf
1 8  18 -65.267153 -Inf
1 8  19 -68.383082 -Inf
1 8  20 -66.495338 -Inf
1 9  10 -52.500302 -Inf
1 9  11 -64.468600 -Inf
1 9  12 -51.965670 -Inf
1 9  13 -65.042309 -Inf
1 9  14 -57.304409 -Inf
1 9  15 -63.610297 -Inf
1 9  16 -55.151266 -Inf
1 9  17 -55.387239 -Inf
1 9  18 -65.209876 -Inf
1 9  19 -64.619183 -Inf
1 9  20 -68.448663 -Inf
1 10  11 -50.602331 -Inf
1 10  12 -48.923473 -1463.893117
1 10  13 -44.467470 -Inf
1 10  14 -49.852297 -1391.214043
1 10  15 -48.941089 -Inf
1 10  16 -56.707029 -1471.561717
1 10  17 -49.608531 -Inf
1 10  18 -55.738203 -Inf
1 10  19 -49.348235 -Inf
1 10  20 -52.854262 -Inf
