1  -94.000000 0.000000
1 2 -50.247712 -0.112524
1 3 -79.012913 -Inf
1 4 -60.353390 -Inf
1 5 -68.608849 -Inf
1 6 -66.959760 -Inf
1 7 -79.172529 -511.487002
1 8 -58.652899 -Inf
1 9 -80.940398 -Inf
1 10 -74.084884 -Inf
1 11 -81.261451 -651.731762
1 12 -69.932505 -Inf
1 13 -73.283832 -Inf
1 14 -82.811449 -Inf
1 15 -60.745037 -Inf
1 16 -75.195212 -Inf
1 17 -82.593410 -Inf
1 18 -69.411335 -Inf
1 19 -74.122002 -Inf
1 20 -92.940495 -Inf
1 2  3 -46.635596 -Inf
1 2  4 -47.421657 -Inf
1 2  5 -39.545411 -Inf
1 2  6 -45.529216 -Inf
1 2  7 -44.708639 -511.599526
1 2  8 -48.863426 -Inf
1 2  9 -48.439442 -Inf
1 2  10 -46.080463 -Inf
1 2  11 -45.126744 -651.844286
1 2  12 -46.899462 -Inf
1 2  13 -46.333295 -Inf
1 2  14 -40.306761 -Inf
1 2  15 -48.045384 -Inf
1 2  16 -45.306822 -Inf
1 2  17 -44.687810 -Inf
1 2  18 -47.963870 -Inf
1 2  19 -46.246729 -Inf
1 2  20 -39.846295 -Inf
1 3  4 -53.951247 -Inf
1 3  5 -54.842761 -Inf
1 3  6 -61.100694 -Inf
1 3  7 -60.899589 -Inf
1 3  8 -51.766937 -Inf
1 3  9 -49.297336 -Inf
1 3  10 -68.539683 -Inf
1 3  11 -66.142173 -Inf
1 3  12 -65.412697 -Inf
1 3  13 -60.810782 -Inf
1 3  14 -65.080230 -Inf
1 3  15 -53.898652 -Inf
1 3  16 -61.398858 -Inf
1 3  17 -73.620883 -Inf
1 3  18 -64.642935 -Inf
1 3  19 -63.288346 -Inf
1 3  20 -68.422077 -Inf
1 4  5 -41.817679 -Inf
1 4  6 -49.597792 -Inf
1 4  7 -56.067594 -Inf
1 4  8 -45.605988 -Inf
1 4  9 -52.709962 -Inf
1 4  10 -52.094159 -Inf
1 4  11 -41.779235 -Inf
1 4  12 -47.839019 -Inf
1 4  13 -50.863717 -Inf
1 4  14 -45.848461 -Inf
1 4  15 -49.428112 -Inf
1 4  16 -51.316474 -Inf
1 4  17 -51.708285 -Inf
1 4  18 -48.842582 -Inf
1 4  19 -50.642650 -Inf
1 4  20 -47.839972 -Inf
1 5  6 -50.623357 -Inf
1 5  7 -56.496380 -Inf
1 5  8 -45.725536 -Inf
1 5  9 -59.709177 -Inf
1 5  10 -51.282713 -Inf
1 5  11 -50.535722 -Inf
1 5  12 -51.920353 -Inf
1 5  13 -52.539977 -Inf
1 5  14 -50.890395 -Inf
1 5  15 -43.530782 -Inf
1 5  16 -56.017723 -Inf
1 5  17 -51.850853 -Inf
1 5  18 -51.542075 -Inf
1 5  19 -53.320150 -Inf
1 5  20 -60.855339 -Inf
1 6  7 -57.780354 -Inf
1 6  8 -49.854127 -Inf
1 6  9 -57.313748 -Inf
1 6  10 -55.075491 -Inf
1 6  11 -60.489005 -Inf
1 6  12 -63.816547 -Inf
1 6  13 -60.744187 -Inf
1 6  14 -58.961473 -Inf
1 6  15 -51.148654 -Inf
1 6  16 -51.861165 -Inf
1 6  17 -61.147386 -Inf
1 6  18 -63.050637 -Inf
1 6  19 -61.907437 -Inf
1 6  20 -62.689523 -Inf
1 7  8 -56.669752 -Inf
1 7  9 -64.731214 -Inf
1 7  10 -56.726989 -Inf
1 7  11 -59.466854 -1163.218764
1 7  12 -59.263059 -Inf
1 7  13 -62.266903 -Inf
1 7  14 -56.726590 -Inf
1 7  15 -57.803092 -Inf
1 7  16 -58.938308 -Inf
1 7  17 -67.389490 -Inf
1 7  18 -59.657938 -Inf
1 7  19 -63.174142 -Inf
1 7  20 -69.826805 -Inf
1 8  9 -52.040489 -Inf
1 8  10 -51.462380 -Inf
1 8  11 -50.593947 -Inf
1 8  12 -51.441753 -Inf
1 8  13 -50.238362 -Inf
1 8  14 -46.934407 -Inf
1 8  15 -56.229597 -Inf
1 8  16 -49.004894 -Inf
1 8  17 -52.960644 -Inf
1 8  18 -51.622273 -Inf
1 8  19 -51.288384 -Inf
1 8  20 -48.685270 -Inf
1 9  10 -61.330404 -Inf
1 9  11 -61.014021 -Inf
1 9  12 -60.577173 -Inf
1 9  13 -59.921403 -Inf
1 9  14 -60.500985 -Inf
1 9  15 -51.869027 -Inf
1 9  16 -59.988797 -Inf
1 9  17 -61.394037 -Inf
1 9  18 -62.465783 -Inf
1 9  19 -60.577368 -Inf
1 9  20 -58.754992 -Inf
1 10  11 -64.619154 -Inf
1 10  12 -57.375706 -Inf
1 10  13 -60.444648 -Inf
1 10  14 -57.366016 -Inf
1 10  15 -53.243304 -Inf
1 10  16 -63.510707 -Inf
1 10  17 -66.575862 -Inf
1 10  18 -64.001310 -Inf
1 10  19 -61.505476 -Inf
1 10  20 -63.293417 -Inf
1 11  12 -60.977954 -Inf
1 11  13 -63.783469 -Inf
1 11  14 -62.386938 -Inf
1 11  15 -50.302191 -Inf
1 11  16 -60.160163 -Inf
1 11  17 -68.641135 -Inf
1 11  18 -61.183160 -Inf
1 11  19 -63.653215 -Inf
1 11  20 -69.641422 -Inf
1 12  13 -64.312746 -Inf
1 12  14 -60.631556 -Inf
1 12  15 -52.995166 -Inf
1 12  16 -54.291029 -Inf
1 12  17 -61.023649 -Inf
1 12  18 -67.806223 -Inf
1 12  19 -64.653103 -Inf
1 12  20 -66.149845 -Inf
1 13  14 -65.541543 -Inf
1 13  15 -50.282117 -Inf
1 13  16 -57.866623 -Inf
1 13  17 -67.290871 -Inf
1 13  18 -62.549025 -Inf
1 13  19 -71.871807 -Inf
1 13  20 -66.056558 -Inf
1 14  15 -48.149751 -Inf
1 14  16 -56.502074 -Inf
1 14  17 -63.598468 -Inf
1 14  18 -63.427828 -Inf
1 14  19 -66.991379 -Inf
1 14  20 -67.589874 -Inf
1 15  16 -49.075246 -Inf
1 15  17 -55.843937 -Inf
1 15  18 -52.813430 -Inf
1 15  19 -52.364052 -Inf
1 15  20 -51.761427 -Inf
1 16  17 -60.665610 -Inf
1 16  18 -60.651682 -Inf
1 16  19 -59.148124 -Inf
1 16  20 -59.944746 -Inf
1 17  18 -63.764626 -Inf
1 17  19 -68.629698 -Inf
1 17  20 -76.173530 -Inf
1 18  19 -63.353535 -Inf
1 18  20 -65.454255 -Inf
1 19  20 -68.836782 -Inf
2  -94.000000 0.000000
2 1 -31.844622 -0.112524
2 3 -65.503058 -662.434843
2 4 -37.900816 -401.555862
2 5 -57.139765 -0.112524
2 6 -46.150317 -589.774585
2 7 -42.468669 -0.112347
2 8 -23.707868 -0.112524
2 9 -66.305084 -0.002525
2 10 -57.074174 -Inf
2 11 -73.327987 -288.883193
2 12 -43.849624 -708.313310
2 13 -55.871346 -Inf
2 14 -71.838312 -297.089257
2 15 -30.083307 -316.129535
2 16 -70.349243 -Inf
2 17 -69.974736 -Inf
2 18 -51.406680 -Inf
2 19 -57.068040 -Inf
2 20 -84.815583 -Inf
2 1  3 -23.741422 -662.547366
2 1  4 -25.412872 -401.668386
2 1  5 -17.909422 -0.225047
2 1  6 -22.840648 -589.887108
2 1  7 -19.059113 -0.224871
2 1  8 -15.823323 -0.225047
2 1  9 -18.956553 -0.115048
2 1  10 -23.677890 -Inf
2 1  11 -19.712653 -288.995717
2 1  12 -21.404931 -708.425834
2 1  13 -22.401842 -Inf
2 1  14 -25.524739 -297.201781
2 1  15 -19.761893 -316.242058
2 1  16 -23.150136 -Inf
2 1  17 -22.973209 -Inf
2 1  18 -26.384839 -Inf
2 1  19 -23.496240 -Inf
2 1  20 -26.733353 -Inf
2 3  4 -30.711951 -1063.990705
2 3  5 -27.424459 -662.547366
2 3  6 -36.367902 -1252.209427
2 3  7 -25.146909 -662.547190
2 3  8 -18.935573 -662.547366
2 3  9 -19.057722 -662.437367
2 3  10 -48.456384 -Inf
2 3  11 -41.259171 -951.318036
2 3  12 -34.915397 -1370.748153
2 3  13 -39.827303 -Inf
2 3  14 -55.579913 -959.524100
2 3  15 -25.640528 -978.564377
2 3  16 -45.052616 -Inf
2 3  17 -53.071087 -Inf
2 3  18 -41.953977 -Inf
