1  -95.000000 0.000000
1 2 -61.476491 -0.041026
1 3 -87.872625 -Inf
1 4 -65.995272 -Inf
1 5 -77.757436 -Inf
1 6 -75.996524 -Inf
1 7 -79.202337 -Inf
1 8 -69.780153 -Inf
1 9 -89.357851 -Inf
1 10 -85.105906 -Inf
1 11 -91.064653 -Inf
1 12 -73.596274 -Inf
1 13 -77.192772 -Inf
1 14 -90.497018 -Inf
1 15 -66.604521 -Inf
1 16 -84.009813 -Inf
1 17 -81.648949 -Inf
1 18 -75.758691 -Inf
1 19 -79.277124 -Inf
1 20 -87.955033 -642.270815
1 2  3 -58.777304 -Inf
1 2  4 -54.458782 -Inf
1 2  5 -57.099311 -Inf
1 2  6 -56.065582 -Inf
1 2  7 -57.398160 -Inf
1 2  8 -57.330612 -Inf
1 2  9 -58.231775 -Inf
1 2  10 -48.116188 -Inf
1 2  11 -56.465619 -Inf
1 2  12 -55.885565 -Inf
1 2  13 -49.952530 -Inf
1 2  14 -54.089676 -Inf
1 2  15 -56.932244 -Inf
1 2  16 -50.939954 -Inf
1 2  17 -54.051455 -Inf
1 2  18 -55.768053 -Inf
1 2  19 -50.568762 -Inf
1 2  20 -46.976056 -642.311841
1 3  4 -59.824060 -Inf
1 3  5 -65.230797 -Inf
1 3  6 -63.870016 -Inf
1 3  7 -64.104989 -Inf
1 3  8 -62.072681 -Inf
1 3  9 -66.482892 -Inf
1 3  10 -68.419390 -Inf
1 3  11 -72.264119 -Inf
1 3  12 -60.185440 -Inf
1 3  13 -66.132078 -Inf
1 3  14 -79.088902 -Inf
1 3  15 -62.356502 -Inf
1 3  16 -73.219995 -Inf
1 3  17 -71.978835 -Inf
1 3  18 -62.891413 -Inf
1 3  19 -68.217174 -Inf
1 3  20 -78.548894 -Inf
1 4  5 -56.186776 -Inf
1 4  6 -58.199642 -Inf
1 4  7 -56.019353 -Inf
1 4  8 -58.436100 -Inf
1 4  9 -59.610926 -Inf
1 4  10 -57.298585 -Inf
1 4  11 -57.548292 -Inf
1 4  12 -57.286520 -Inf
1 4  13 -56.714014 -Inf
1 4  14 -60.251329 -Inf
1 4  15 -56.731647 -Inf
1 4  16 -59.271295 -Inf
1 4  17 -54.662991 -Inf
1 4  18 -58.055899 -Inf
1 4  19 -57.068282 -Inf
1 4  20 -56.437231 -Inf
1 5  6 -64.064152 -Inf
1 5  7 -65.860616 -Inf
1 5  8 -55.452104 -Inf
1 5  9 -71.729150 -Inf
1 5  10 -63.863666 -Inf
1 5  11 -63.641463 -Inf
1 5  12 -65.988644 -Inf
1 5  13 -64.104342 -Inf
1 5  14 -63.984722 -Inf
1 5  15 -54.448130 -Inf
1 5  16 -62.926432 -Inf
1 5  17 -64.561007 -Inf
1 5  18 -65.605901 -Inf
1 5  19 -64.936159 -Inf
1 5  20 -65.231390 -Inf
1 6  7 -67.853583 -Inf
1 6  8 -61.554218 -Inf
1 6  9 -73.478572 -Inf
1 6  10 -70.523736 -Inf
1 6  11 -69.610220 -Inf
1 6  12 -70.147207 -Inf
1 6  13 -70.930303 -Inf
1 6  14 -62.452857 -Inf
1 6  15 -60.685885 -Inf
1 6  16 -67.971741 -Inf
1 6  17 -64.845383 -Inf
1 6  18 -70.446090 -Inf
1 6  19 -70.936367 -Inf
1 6  20 -62.343567 -Inf
1 7  8 -59.425314 -Inf
1 7  9 -73.013427 -Inf
1 7  10 -69.630594 -Inf
1 7  11 -73.144734 -Inf
1 7  12 -68.662248 -Inf
1 7  13 -67.891450 -Inf
1 7  14 -63.006980 -Inf
1 7  15 -58.243693 -Inf
1 7  16 -68.488515 -Inf
1 7  17 -65.195646 -Inf
1 7  18 -68.556822 -Inf
1 7  19 -70.679927 -Inf
1 7  20 -72.959591 -Inf
1 8  9 -64.844943 -Inf
1 8  10 -61.659694 -Inf
1 8  11 -60.658937 -Inf
1 8  12 -60.001590 -Inf
1 8  13 -60.001254 -Inf
1 8  14 -60.662460 -Inf
1 8  15 -64.712331 -Inf
1 8  16 -58.093796 -Inf
1 8  17 -58.612316 -Inf
1 8  18 -56.679029 -Inf
1 8  19 -62.184826 -Inf
1 8  20 -60.438829 -Inf
1 9  10 -76.291748 -Inf
1 9  11 -78.347056 -Inf
1 9  12 -69.430834 -Inf
1 9  13 -73.916062 -Inf
1 9  14 -77.188475 -Inf
1 9  15 -62.478352 -Inf
1 9  16 -76.616473 -Inf
1 9  17 -73.187852 -Inf
1 9  18 -69.181300 -Inf
1 9  19 -74.348239 -Inf
1 9  20 -81.899827 -Inf
1 10  11 -75.244971 -Inf
1 10  12 -67.933378 -Inf
1 10  13 -72.062876 -Inf
1 10  14 -72.205791 -Inf
1 10  15 -60.599424 -Inf
1 10  16 -77.788368 -Inf
1 10  17 -64.128579 -Inf
1 10  18 -70.565320 -Inf
1 10  19 -73.726252 -Inf
1 10  20 -72.568781 -Inf
1 11  12 -64.784093 -Inf
1 11  13 -70.087087 -Inf
1 11  14 -80.584839 -Inf
1 11  15 -60.576076 -Inf
1 11  16 -76.538304 -Inf
1 11  17 -76.848029 -Inf
1 11  18 -67.731204 -Inf
1 11  19 -73.009622 -Inf
1 11  20 -78.485371 -Inf
1 12  13 -66.786278 -Inf
1 12  14 -64.293414 -Inf
1 12  15 -59.590559 -Inf
1 12  16 -65.826694 -Inf
1 12  17 -64.506323 -Inf
1 12  18 -69.729061 -Inf
1 12  19 -68.077193 -Inf
1 12  20 -62.850511 -Inf
1 13  14 -64.948097 -Inf
1 13  15 -58.925786 -Inf
1 13  16 -72.511132 -Inf
1 13  17 -68.046481 -Inf
1 13  18 -67.481539 -Inf
1 13  19 -74.946828 -Inf
1 13  20 -64.484911 -Inf
1 14  15 -61.825434 -Inf
1 14  16 -72.788004 -Inf
1 14  17 -71.425865 -Inf
1 14  18 -67.545992 -Inf
1 14  19 -65.293123 -Inf
1 14  20 -80.526998 -Inf
1 15  16 -60.631044 -Inf
1 15  17 -58.598688 -Inf
1 15  18 -58.570586 -Inf
1 15  19 -60.216547 -Inf
1 15  20 -58.215200 -Inf
1 16  17 -68.808201 -Inf
1 16  18 -69.948192 -Inf
1 16  19 -74.704159 -Inf
1 16  20 -70.143798 -Inf
1 17  18 -65.654361 -Inf
1 17  19 -65.695862 -Inf
1 17  20 -69.916755 -Inf
1 18  19 -68.429591 -Inf
1 18  20 -64.235767 -Inf
1 19  20 -63.927606 -Inf
2  -95.000000 0.000000
2 1 -44.590245 -0.041026
2 3 -91.915023 -112.947215
2 4 -53.362083 -359.105366
2 5 -36.384590 -54.143857
2 6 -61.061719 -676.159010
2 7 -48.126858 -0.010332
2 8 -36.992937 -318.769680
2 9 -57.213271 -48.233984
2 10 -72.289482 -Inf
2 11 -62.332721 -352.048830
2 12 -45.098185 -396.589740
2 13 -62.150338 -Inf
2 14 -86.971246 -Inf
2 15 -39.484413 -457.388272
2 16 -79.469533 -Inf
2 17 -77.803412 -635.038459
2 18 -65.662258 -500.027336
2 19 -60.819043 -658.608347
2 20 -89.847355 -Inf
2 1  3 -31.916402 -112.988241
2 1  4 -34.491239 -359.146391
2 1  5 -19.138139 -54.184883
2 1  6 -33.913794 -676.200036
2 1  7 -26.894283 -0.051358
2 1  8 -26.693877 -318.810706
2 1  9 -24.907706 -48.275010
2 1  10 -37.423118 -Inf
2 1  11 -21.706346 -352.089856
2 1  12 -22.498967 -396.630766
2 1  13 -31.765661 -Inf
2 1  14 -35.177373 -Inf
2 1  15 -27.960780 -457.429298
2 1  16 -37.485960 -Inf
2 1  17 -30.639173 -635.079485
2 1  18 -33.902552 -500.068361
2 1  19 -30.318427 -658.649373
2 1  20 -38.496573 -Inf
2 3  4 -37.353751 -472.052581
2 3  5 -25.849842 -167.091073
2 3  6 -48.527235 -789.106225
2 3  7 -29.603092 -112.957547
2 3  8 -30.176308 -431.716896
2 3  9 -20.329307 -161.181200
2 3  10 -55.941187 -Inf
2 3  11 -42.646781 -464.996046
2 3  12 -31.964880 -509.536956
2 3  13 -48.899157 -Inf
2 3  14 -69.475059 -Inf
2 3  15 -32.308450 -570.335488
2 3  16 -70.815071 -Inf
2 3  17 -67.774462 -747.985674
2 3  18 -43.242064 -612.974551
2 3  19 -51.469688 -771.555563
2 3  20 -78.557614 -Inf
2 4  5 -19.904685 -413.249223
2 4  6 -38.219720 -1035.264376
2 4  7 -25.848753 -359.115698
2 4  8 -32.319403 -677.875046
2 4  9 -24.156398 -407.339350
2 4  10 -44.661536 -Inf
2 4  11 -21.743367 -711.154196
2 4  12 -28.454823 -755.695106
2 4  13 -38.931251 -Inf
2 4  14 -46.727449 -Inf
2 4  15 -33.140308 -816.493638
2 4  16 -46.673656 -Inf
2 4  17 -36.126337 -994.143825
2 4  18 -43.394835 -859.132701
2 4  19 -41.016903 -1017.713713
2 4  20 -48.656615 -Inf
2 5  6 -23.385187 -730.302867
2 5  7 -23.930184 -54.154189
2 5  8 -17.148132 -372.913538
2 5  9 -25.966091 -102.377842
2 5  10 -26.345066 -Inf
2 5  11 -23.958655 -406.192688
2 5  12 -27.161477 -450.733598
2 5  13 -27.448065 -Inf
2 5  14 -30.776089 -Inf
2 5  15 -18.638137 -511.532129
2 5  16 -28.395027 -Inf
2 5  17 -26.240863 -689.182316
2 5  18 -28.522407 -554.171193
2 5  19 -27.437656 -712.752205
2 5  20 -30.171021 -Inf
2 6  7 -34.914623 -676.169342
2 6  8 -28.241419 -994.928690
2 6  9 -41.167014 -724.392994
2 6  10 -49.400074 -Inf
2 6  11 -33.302195 -1028.207840
2 6  12 -39.106514 -1072.748750
2 6  13 -56.870804 -Inf
2 6  14 -45.027065 -Inf
2 6  15 -31.665806 -1133.547282
2 6  16 -46.772764 -Inf
2 6  17 -43.753348 -1311.197469
2 6  18 -44.175470 -1176.186346
2 6  19 -53.947278 -1334.767357
2 6  20 -52.586776 -Inf
2 7  8 -21.948053 -318.780012
2 7  9 -36.261559 -48.244316
2 7  10 -33.921443 -Inf
2 7  11 -32.658848 -352.059162
2 7  12 -28.831298 -396.600072
2 7  13 -36.557739 -Inf
2 7  14 -35.461472 -Inf
2 7  15 -23.098369 -457.398604
2 7  16 -35.691460 -Inf
2 7  17 -32.556650 -635.048791
2 7  18 -34.273748 -500.037668
2 7  19 -33.934029 -658.618679
2 7  20 -38.478723 -Inf
2 8  9 -21.767858 -367.003665
2 8  10 -29.725677 -Inf
2 8  11 -17.625917 -670.818511
2 8  12 -22.198251 -715.359421
2 8  13 -31.017816 -Inf
2 8  14 -32.730760 -Inf
2 8  15 -35.155307 -776.157953
2 8  16 -32.649390 -Inf
2 8  17 -28.857289 -953.808139
2 8  18 -28.512154 -818.797016
2 8  19 -31.238157 -977.378028
2 8  20 -33.846779 -Inf
2 9  10 -38.746451 -Inf
2 9  11 -36.082092 -400.282814
2 9  12 -33.117627 -444.823725
2 9  13 -42.223856 -Inf
2 9  14 -46.665529 -Inf
2 9  15 -22.803249 -505.622256
2 9  16 -43.838019 -Inf
2 9  17 -42.362662 -683.272443
2 9  18 -38.903631 -548.261320
2 9  19 -39.119925 -706.842332
2 9  20 -48.904124 -Inf
2 10  11 -36.900336 -Inf
2 10  12 -37.536583 -Inf
2 10  13 -51.149691 -Inf
2 10  14 -62.177619 -Inf
