1  -140.000000 0.000000
1 2 -102.850551 -0.074865
1 3 -123.398161 -12.278819
1 4 -108.984517 -5.773647
1 5 -113.152114 -0.734143
1 6 -111.234464 -2.122169
1 7 -126.395078 -1.567194
1 8 -112.775776 -11.708908
1 9 -128.064074 -5.762059
1 10 -116.340434 -11.201385
1 11 -125.418565 -2.374535
1 12 -119.536638 -11.921700
1 13 -114.555046 -8.767538
1 14 -133.873414 -25.115214
1 15 -113.896233 -12.409592
1 16 -117.269964 -11.783620
1 17 -128.517926 -4.605561
1 18 -119.015640 -12.419121
1 19 -115.372028 -8.845671
1 20 -135.628064 -26.997061
1 2  3 -96.317538 -12.353684
1 2  4 -95.658339 -5.848512
1 2  5 -84.585334 -0.809008
1 2  6 -95.275374 -2.197035
1 2  7 -96.211411 -1.642060
1 2  8 -98.806503 -11.783773
1 2  9 -98.735889 -5.836925
1 2  10 -96.571126 -11.276251
1 2  11 -89.576471 -2.449400
1 2  12 -97.058469 -11.996566
1 2  13 -93.246296 -8.842403
1 2  14 -93.308831 -25.190079
1 2  15 -97.492580 -12.484457
1 2  16 -96.844174 -11.858485
1 2  17 -95.196257 -4.680427
1 2  18 -96.123532 -12.493986
1 2  19 -94.176145 -8.920536
1 2  20 -96.464410 -27.071927
1 3  4 -101.607947 -18.052465
1 3  5 -102.449059 -13.012961
1 3  6 -97.545562 -14.400988
1 3  7 -109.321814 -13.846013
1 3  8 -106.843344 -23.987727
1 3  9 -97.270118 -18.040878
1 3  10 -102.971645 -23.480204
1 3  11 -107.141483 -14.653354
1 3  12 -106.726739 -24.200519
1 3  13 -94.028138 -21.046357
1 3  14 -109.182124 -37.394032
1 3  15 -106.447002 -24.688410
1 3  16 -96.331075 -24.062438
1 3  17 -113.594601 -16.884380
1 3  18 -104.709354 -24.697939
1 3  19 -98.719538 -21.124489
1 3  20 -112.822406 -39.275880
1 4  5 -89.994494 -6.507789
1 4  6 -96.117641 -7.895816
1 4  7 -104.514607 -7.340841
1 4  8 -97.400061 -17.482555
1 4  9 -98.714748 -11.535706
1 4  10 -97.169684 -16.975032
1 4  11 -89.636946 -8.148182
1 4  12 -100.501666 -17.695347
1 4  13 -96.009916 -14.541185
1 4  14 -100.462094 -30.888860
1 4  15 -99.687918 -18.183238
1 4  16 -97.949290 -17.557266
1 4  17 -102.631972 -10.379208
1 4  18 -99.413024 -18.192767
1 4  19 -96.056538 -14.619317
1 4  20 -102.440373 -32.770708
1 5  6 -92.728974 -2.856312
1 5  7 -98.358200 -2.301337
1 5  8 -93.156429 -12.443051
1 5  9 -107.353761 -6.496202
1 5  10 -94.482080 -11.935528
1 5  11 -92.815411 -3.108678
1 5  12 -97.452557 -12.655843
1 5  13 -91.758080 -9.501681
1 5  14 -104.572406 -25.849356
1 5  15 -91.779089 -13.143734
1 5  16 -98.828416 -12.517763
1 5  17 -95.368811 -5.339704
1 5  18 -96.049459 -13.153263
1 5  19 -91.963154 -9.579813
1 5  20 -105.069394 -27.731204
1 6  7 -104.862532 -3.689364
1 6  8 -100.820091 -13.831077
1 6  9 -103.354951 -7.884229
1 6  10 -97.213661 -13.323555
1 6  11 -101.660302 -4.496704
1 6  12 -107.161050 -14.043869
1 6  13 -104.695020 -10.889707
