1  -45.000000 0.000000
1 2 -16.534523 -0.173215
1 3 -34.347983 -436.391385
1 4 -23.439562 -665.533747
1 5 -31.044405 -495.339432
1 6 -29.811050 -547.342100
1 7 -26.669649 -Inf
1 8 -28.944438 -515.567193
1 9 -31.750744 -574.420975
1 10 -35.634783 -641.760717
1 11 -39.520636 -700.768915
1 12 -32.734177 -Inf
1 13 -32.966896 -Inf
1 14 -39.579938 -522.994190
1 15 -29.617382 -Inf
1 16 -33.881003 -726.708868
1 17 -36.936139 -572.629188
1 18 -33.189471 -386.714230
1 19 -33.652730 -664.601949
1 20 -43.818611 -Inf
1 2  3 -13.049442 -436.564600
1 2  4 -14.009239 -665.706962
1 2  5 -11.683940 -495.512648
1 2  6 -10.667869 -547.515316
1 2  7 -14.218589 -Inf
1 2  8 -14.899990 -515.740408
1 2  9 -14.273041 -574.594190
1 2  10 -12.460000 -641.933932
1 2  11 -12.672684 -700.942130
1 2  12 -12.459835 -Inf
1 2  13 -11.093860 -Inf
1 2  14 -12.954845 -523.167406
1 2  15 -15.239488 -Inf
1 2  16 -12.643195 -726.882083
1 2  17 -13.842724 -572.802403
1 2  18 -10.907984 -386.887445
1 2  19 -11.776433 -664.775164
1 2  20 -12.699544 -Inf
1 3  4 -18.505847 -1101.925132
1 3  5 -22.628868 -931.730817
1 3  6 -17.166122 -983.733485
1 3  7 -18.759313 -Inf
1 3  8 -20.017888 -951.958578
1 3  9 -15.938519 -1010.812360
1 3  10 -23.695223 -1078.152102
1 3  11 -22.766534 -1137.160300
1 3  12 -23.245630 -Inf
1 3  13 -17.507601 -Inf
1 3  14 -20.364565 -959.385575
1 3  15 -22.070740 -Inf
1 3  16 -21.102258 -1163.100253
1 3  17 -25.242966 -1009.020573
1 3  18 -22.880440 -823.105615
1 3  19 -17.563726 -1100.993334
1 3  20 -30.107798 -Inf
1 4  5 -16.132487 -1160.873179
1 4  6 -16.025633 -1212.875847
1 4  7 -16.372609 -Inf
1 4  8 -18.459212 -1181.100940
1 4  9 -18.272776 -1239.954722
1 4  10 -15.488709 -1307.294463
1 4  11 -17.676558 -1366.302662
1 4  12 -17.577688 -Inf
1 4  13 -18.374490 -Inf
1 4  14 -14.780149 -1188.527937
1 4  15 -20.583409 -Inf
1 4  16 -18.767804 -1392.242615
1 4  17 -17.981337 -1238.162934
1 4  18 -16.987070 -1052.247977
1 4  19 -17.351450 -1330.135696
1 4  20 -20.852885 -Inf
1 5  6 -17.823212 -1042.681533
1 5  7 -18.991419 -Inf
1 5  8 -21.184605 -1010.906626
1 5  9 -22.837567 -1069.760407
1 5  10 -18.970567 -1137.100149
1 5  11 -20.260750 -1196.108347
1 5  12 -18.609309 -Inf
1 5  13 -19.816471 -Inf
1 5  14 -24.084930 -1018.333623
1 5  15 -20.252517 -Inf
1 5  16 -18.910101 -1222.048300
1 5  17 -24.801435 -1067.968620
1 5  18 -19.007380 -882.053662
1 5  19 -21.220249 -1159.941381
1 5  20 -27.412184 -Inf
1 6  7 -15.415428 -Inf
1 6  8 -16.253184 -1062.909294
1 6  9 -22.440303 -1121.763075
1 6  10 -22.718091 -1189.102817
1 6  11 -22.996626 -1248.111015
1 6  12 -22.922339 -Inf
1 6  13 -25.688873 -Inf
1 6  14 -21.611787 -1070.336291
1 6  15 -17.896986 -Inf
1 6  16 -23.445828 -1274.050968
1 6  17 -19.293443 -1119.971288
1 6  18 -19.403448 -934.056330
1 6  19 -24.686028 -1211.944049
1 6  20 -24.923436 -Inf
1 7  8 -21.235404 -Inf
1 7  9 -18.613052 -Inf
1 7  10 -16.852138 -Inf
1 7  11 -18.877331 -Inf
1 7  12 -17.014729 -Inf
1 7  13 -17.016439 -Inf
1 7  14 -18.301187 -Inf
1 7  15 -20.296110 -Inf
1 7  16 -19.469625 -Inf
1 7  17 -19.654339 -Inf
1 7  18 -16.591929 -Inf
1 7  19 -18.223460 -Inf
1 7  20 -20.374906 -Inf
1 8  9 -21.649519 -1089.988168
1 8  10 -19.682559 -1157.327910
1 8  11 -18.508280 -1216.336108
1 8  12 -15.110834 -Inf
1 8  13 -18.319280 -Inf
1 8  14 -19.272239 -1038.561384
1 8  15 -24.050647 -Inf
1 8  16 -19.185156 -1242.276061
1 8  17 -20.247636 -1088.196381
1 8  18 -16.891533 -902.281423
1 8  19 -17.813908 -1180.169142
1 8  20 -24.046419 -Inf
1 9  10 -21.415878 -1216.181692
1 9  11 -25.881700 -1275.189890
1 9  12 -23.509423 -Inf
1 9  13 -23.210014 -Inf
1 9  14 -23.634940 -1097.415165
1 9  15 -21.094449 -Inf
1 9  16 -23.299844 -1301.129843
1 9  17 -20.970025 -1147.050163
1 9  18 -24.074244 -961.135205
1 9  19 -24.023674 -1239.022924
1 9  20 -20.195489 -Inf
1 10  11 -23.409497 -1342.529632
1 10  12 -26.030356 -Inf
1 10  13 -24.078432 -Inf
1 10  14 -24.171239 -1164.754907
1 10  15 -22.750137 -Inf
1 10  16 -23.894625 -1368.469585
1 10  17 -25.114021 -1214.389904
1 10  18 -26.469441 -1028.474947
1 10  19 -22.728286 -1306.362666
1 10  20 -28.250533 -Inf
1 11  12 -24.053240 -Inf
1 11  13 -24.457053 -Inf
1 11  14 -28.085729 -1223.763105
1 11  15 -20.415293 -Inf
1 11  16 -23.292293 -1427.477783
1 11  17 -32.628603 -1273.398103
1 11  18 -23.891584 -1087.483145
1 11  19 -26.974130 -1365.370864
1 11  20 -37.326441 -Inf
1 12  13 -28.275707 -Inf
1 12  14 -21.147667 -Inf
1 12  15 -21.122615 -Inf
1 12  16 -22.988304 -Inf
1 12  17 -22.550999 -Inf
1 12  18 -31.024360 -Inf
1 12  19 -28.033933 -Inf
1 12  20 -29.302078 -Inf
1 13  14 -26.020988 -Inf
1 13  15 -18.390155 -Inf
1 13  16 -24.723661 -Inf
1 13  17 -22.771965 -Inf
1 13  18 -26.169731 -Inf
1 13  19 -26.830270 -Inf
1 13  20 -28.509132 -Inf
1 14  15 -19.295435 -Inf
1 14  16 -28.851829 -1249.703058
1 14  17 -16.872622 -1095.623378
1 14  18 -22.203588 -909.708420
1 14  19 -27.201281 -1187.596139
1 14  20 -29.685368 -Inf
1 15  16 -21.803226 -Inf
1 15  17 -22.242946 -Inf
1 15  18 -19.148419 -Inf
1 15  19 -18.753013 -Inf
1 15  20 -25.251441 -Inf
1 16  17 -25.513561 -1299.338056
1 16  18 -21.729190 -1113.423098
1 16  19 -25.602104 -1391.310817
