1  -44.000000 0.000000
1 2 -20.121698 -339.701712
1 3 -25.949430 -Inf
1 4 -37.998213 -Inf
1 5 -22.854766 -731.595942
1 6 -31.122639 -727.206566
1 7 -23.296555 -Inf
1 8 -27.555061 -546.822791
1 9 -30.048963 -Inf
1 10 -32.515945 -Inf
1 11 -19.210380 -706.352883
1 12 -26.951141 -506.849082
1 13 -40.349936 -Inf
1 14 -34.331315 -532.718750
1 15 -28.053325 -502.955242
1 16 -37.133607 -Inf
1 17 -26.825509 -Inf
1 18 -34.778055 -671.774099
1 19 -39.209744 -664.851160
1 20 -41.850142 -591.181469
1 2  3 -16.066683 -Inf
1 2  4 -15.976971 -Inf
1 2  5 -17.937970 -1071.297654
1 2  6 -18.321961 -1066.908278
1 2  7 -15.476589 -Inf
1 2  8 -14.904917 -886.524503
1 2  9 -18.364261 -Inf
1 2  10 -17.148573 -Inf
1 2  11 -14.655073 -1046.054596
1 2  12 -16.668155 -846.550794
1 2  13 -18.017920 -Inf
1 2  14 -11.905324 -872.420462
1 2  15 -17.333781 -842.656954
1 2  16 -18.974895 -Inf
1 2  17 -18.454727 -Inf
1 2  18 -18.450890 -1011.475811
1 2  19 -17.502825 -1004.552872
1 2  20 -13.129783 -930.883181
1 3  4 -20.098154 -Inf
1 3  5 -16.862448 -Inf
1 3  6 -21.869535 -Inf
1 3  7 -18.554733 -Inf
1 3  8 -19.187798 -Inf
1 3  9 -22.759540 -Inf
1 3  10 -19.387776 -Inf
1 3  11 -16.991948 -Inf
1 3  12 -16.500179 -Inf
1 3  13 -21.951367 -Inf
1 3  14 -22.133095 -Inf
1 3  15 -23.670691 -Inf
1 3  16 -21.861343 -Inf
1 3  17 -19.447748 -Inf
1 3  18 -21.216557 -Inf
1 3  19 -20.907935 -Inf
1 3  20 -22.639671 -Inf
1 4  5 -16.222114 -Inf
1 4  6 -21.460796 -Inf
1 4  7 -16.650165 -Inf
1 4  8 -16.685977 -Inf
1 4  9 -23.442671 -Inf
1 4  10 -20.177185 -Inf
1 4  11 -16.365291 -Inf
1 4  12 -19.522242 -Inf
1 4  13 -28.718048 -Inf
1 4  14 -25.138056 -Inf
1 4  15 -22.586181 -Inf
1 4  16 -28.303705 -Inf
1 4  17 -19.666071 -Inf
1 4  18 -20.119311 -Inf
1 4  19 -28.502310 -Inf
1 4  20 -25.862564 -Inf
1 5  6 -18.942488 -1458.802508
1 5  7 -18.526400 -Inf
1 5  8 -15.403390 -1278.418733
1 5  9 -16.540971 -Inf
1 5  10 -20.204417 -Inf
1 5  11 -16.835845 -1437.948826
1 5  12 -19.022227 -1238.445024
1 5  13 -19.540130 -Inf
1 5  14 -16.392238 -1264.314692
1 5  15 -18.976622 -1234.551184
1 5  16 -20.109578 -Inf
1 5  17 -18.348411 -Inf
1 5  18 -19.155094 -1403.370041
1 5  19 -17.711189 -1396.447102
1 5  20 -15.377256 -1322.777411
1 6  7 -18.167987 -Inf
1 6  8 -15.708430 -1274.029356
1 6  9 -21.952487 -Inf
1 6  10 -28.245043 -Inf
1 6  11 -15.390859 -1433.559449
1 6  12 -23.166330 -1234.055647
1 6  13 -28.492182 -Inf
1 6  14 -20.075136 -1259.925315
1 6  15 -20.405635 -1230.161807
1 6  16 -27.965481 -Inf
1 6  17 -23.188683 -Inf
1 6  18 -24.753687 -1398.980665
1 6  19 -28.612491 -1392.057726
1 6  20 -16.984368 -1318.388035
1 7  8 -14.151090 -Inf
1 7  9 -17.287722 -Inf
1 7  10 -20.885976 -Inf
1 7  11 -13.421160 -Inf
1 7  12 -18.477918 -Inf
1 7  13 -19.350622 -Inf
1 7  14 -20.446425 -Inf
1 7  15 -17.995391 -Inf
1 7  16 -21.151941 -Inf
1 7  17 -18.406354 -Inf
1 7  18 -21.679044 -Inf
1 7  19 -17.507984 -Inf
1 7  20 -17.737020 -Inf
1 8  9 -22.987480 -Inf
1 8  10 -15.214778 -Inf
1 8  11 -14.717451 -1253.175674
1 8  12 -14.392800 -1053.671872
1 8  13 -23.439400 -Inf
1 8  14 -18.344946 -1079.541540
1 8  15 -21.290802 -1049.778032
1 8  16 -21.692551 -Inf
1 8  17 -17.892554 -Inf
1 8  18 -17.258995 -1218.596890
1 8  19 -22.168875 -1211.673951
1 8  20 -22.746215 -1138.004260
1 9  10 -20.296448 -Inf
1 9  11 -14.405072 -Inf
1 9  12 -19.316328 -Inf
1 9  13 -24.570080 -Inf
1 9  14 -22.900745 -Inf
1 9  15 -26.546541 -Inf
1 9  16 -23.448665 -Inf
1 9  17 -18.094475 -Inf
1 9  18 -25.766542 -Inf
1 9  19 -23.435589 -Inf
1 9  20 -25.544518 -Inf
1 10  11 -13.859802 -Inf
1 10  12 -23.395396 -Inf
1 10  13 -30.713321 -Inf
1 10  14 -22.310225 -Inf
1 10  15 -18.742068 -Inf
1 10  16 -29.779340 -Inf
1 10  17 -23.240818 -Inf
